ID,REG,Houille,Houille,Houille,Houille,Houille,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Coke de houille,Coke de houille,Coke de houille,Coke de houille,Coke de houille,Gaz de réseau,Gaz de réseau,Gaz de réseau,Gaz de réseau,Gaz de réseau,Coke de pétrole,Coke de pétrole,Coke de pétrole,Coke de pétrole,Coke de pétrole,Butane propane,Butane propane,Butane propane,Butane propane,Butane propane,Fioul lourd,Fioul lourd,Fioul lourd,Fioul lourd,Fioul lourd,Fioul domestique,Fioul domestique,Fioul domestique,Fioul domestique,Fioul domestique,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Liqueurs noires,Liqueurs noires,Liqueurs noires,Liqueurs noires,Liqueurs noires,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Vapeur,Vapeur,Vapeur,Vapeur,Vapeur
ID,REG,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
FRA,France,1661,4027,68,10,5766,s,s,13,0,s,316,s,0,s,423,8076,1064,305,1104,10548,638,30,0,1,669,120,2362,0,69,2551,s,s,19,7,s,75,5,13,156,249,s,s,2,1,1272,s,s,s,0,s,780,0,57,81,919,258,3,7,s,s,s,s,0,s,s,1614,so,18,72,1704
IDF,Ile-de-France,s,0,0,s,s,0,0,0,0,0,s,s,0,0,1,s,s,s,67,574,s,s,0,1,12,3,0,0,2,5,s,0,0,s,s,2,0,0,8,9,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s,s,0,0,0,s,s,0,0,0,s,13,so,0,4,17
CVL,Centre-Val de Loire,18,s,0,s,20,0,0,0,0,0,s,s,0,0,1,322,1,21,52,395,36,0,0,0,36,5,0,0,3,9,3,0,0,0,4,1,1,1,5,8,0,0,0,0,0,0,0,0,0,0,37,0,0,4,41,9,0,0,0,9,s,0,0,s,2,6,so,0,0,7
BFC,Bourgogne-Franche-Comté,87,0,0,0,87,0,0,0,0,0,7,0,0,0,7,s,s,0,97,440,0,0,0,0,0,10,s,0,7,s,s,0,s,0,s,4,1,0,10,15,0,s,0,s,0,0,0,0,0,0,40,0,0,37,76,s,0,0,0,s,s,0,0,0,s,s,so,0,9,s
NOR,Normandie,47,0,s,0,s,0,0,0,0,0,s,0,0,0,s,806,359,s,98,s,53,0,0,0,53,7,s,0,6,s,79,s,s,1,81,3,0,1,8,12,s,s,0,0,549,0,0,0,0,0,120,0,12,1,134,s,0,0,0,s,s,0,0,s,s,198,so,s,s,205
HDF,Hauts-de-France,s,s,s,0,s,60,2,13,0,75,s,s,0,0,134,s,s,173,165,s,s,s,0,0,126,10,s,s,8,s,54,0,3,0,58,10,0,1,17,28,s,2,0,s,s,0,0,0,0,0,30,0,0,2,32,s,s,0,0,s,s,s,0,s,s,167,so,0,6,174
GRE,Grand Est,1212,0,3,0,1216,71,0,0,0,71,s,s,0,s,174,1543,445,36,171,2194,s,s,0,0,86,8,s,0,s,19,s,0,s,1,45,13,0,1,27,41,s,8,0,s,s,0,0,0,0,0,219,0,s,s,236,32,0,0,0,33,85,s,0,0,s,148,so,s,s,173
PAL,Pays de la Loire,s,0,0,0,s,s,0,0,0,s,8,0,0,0,8,369,0,3,60,433,51,0,0,0,51,11,0,0,7,18,s,0,0,0,s,3,0,2,10,15,0,0,0,0,0,0,0,0,0,0,15,0,s,s,33,12,s,s,s,s,s,0,0,0,s,58,so,0,4,63
BRE,Bretagne,s,0,0,0,s,0,0,0,0,0,3,0,0,0,3,309,s,s,65,376,0,0,0,0,0,23,s,0,7,s,s,0,s,1,s,3,0,3,6,12,0,0,0,0,0,s,0,0,0,s,7,0,0,s,s,s,0,s,0,s,0,s,0,s,0,46,so,0,3,50
NOA,Nouvelle-Aquitaine,s,s,s,s,123,0,0,0,0,0,s,s,0,0,s,461,1,17,81,559,49,0,0,0,49,13,s,0,5,s,s,s,s,1,130,6,1,1,20,28,3,4,0,0,7,453,s,s,0,s,183,0,s,s,s,83,0,0,0,83,24,0,0,0,24,349,so,s,s,359
OCC,Occitanie,s,s,0,0,76,0,0,0,0,0,s,0,0,0,s,291,1,3,43,338,s,s,0,0,48,7,0,s,3,s,14,s,s,0,15,5,0,1,10,16,0,0,0,s,s,s,0,0,0,s,52,0,0,s,s,9,0,0,s,s,36,0,0,0,36,s,so,0,4,s
ARA,Auvergne-Rhône-Alpes,41,84,0,0,125,s,s,0,0,s,23,9,0,0,32,971,88,19,188,1266,73,24,0,0,97,18,s,s,9,31,58,0,s,1,s,6,0,1,21,28,13,2,s,s,17,0,0,0,0,0,68,0,0,6,74,29,0,0,0,29,54,s,0,s,54,255,so,5,11,270
PAC,Provence-Alpes-Côte d'Azur,0,s,s,0,s,0,0,0,0,0,48,0,0,0,48,623,s,s,17,s,111,0,0,0,111,3,s,s,s,1183,s,0,s,s,89,7,0,1,11,19,119,0,0,0,119,0,0,s,0,s,11,0,s,s,s,s,0,s,0,21,11,0,0,0,11,183,so,0,2,185
DOM,Départements d’Outre-mer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,2,13,0,0,3,16,1,s,s,s,s,0,0,0,0,0,s,0,0,0,s,s,0,s,0,10,0,s,0,0,s,66,so,0,0,66
