ANNEE;CONSBRT;CONSNET;FACTURE;BR_PCT;CMS_PCT;DR_PCT;PP_PCT;CR_PCT;ENM_PCT;TOT_PCT;BR_PRIX;CR_PRIX;DR_PRIX;FR_PRIX;GR_PRIX;HR_PRIX;IR_PRIX;JR_PRIX;KR_PRIX;LR_PRIX;OR_PRIX
1996;32.9;nd;7603.0;36.6;5.5;37.6;18.1;2.2;nd;100;46.2;10.3;11.2;52.1;nd;118.9;81.1;193.8;115.9;0.2;nd
1997;33.4;nd;7894.0;37.8;5.1;38.4;16.8;1.9;nd;100;45.1;10.5;11.9;56.6;nd;112.6;84.3;209.2;114.8;0.3;nd
1998;34.6;nd;7770.0;37.7;4.9;38.6;16.7;2.1;nd;100;43.2;9.7;11.4;54.2;nd;111.7;76.4;174.5;95.5;0.2;nd
1999;34.5;nd;7569.0;38.3;4.4;39;15.5;2.8;nd;100;42.3;9.7;11;45.7;nd;98.4;76.2;212.1;115.8;0.2;nd
2000;34.4;nd;8477.0;39.3;5.6;37.8;13.8;3.5;nd;100;39.8;13.1;15;52.3;nd;109.2;136.3;329.4;182;0.3;nd
2001;33.7;nd;8762.0;38.6;4.1;38;14.3;5;nd;100;38.9;13;17.4;63.7;nd;134.1;112.5;300.9;163.7;0.3;nd
2002;33.1;nd;8327.0;38.1;7.1;36.4;12.6;5.8;nd;100;39.1;12.5;15.6;66.7;nd;128.8;113.1;277.7;174.4;0.3;nd
2003;32.7;nd;8462.0;39.4;5.1;37.7;11.9;5.9;nd;100;39.2;13;16.8;58.8;nd;127.1;112.8;285.6;185.8;0.3;nd
2004;33.3;nd;9031.0;38.9;4.2;37.3;13.4;6.2;nd;100;41.6;13;16.4;65.1;nd;238.3;98.3;315;173.4;0.3;nd
2005r;32.9;nd;10356.0;39.6;4.9;37;11.5;7;nd;100;44.7;18.1;20.4;90.4;97.3;226.8;88.2;396.5;228.3;0.4;nd
2005;43.3;41;12092.0;32.2;4.5;32.6;9.7;5.8;15.2;100;45.4;18;20.6;90.2;88.6;227.3;88.2;403;237.7;0.4;nd
2006;42.6;40.5;13550.6;32.1;4.9;32.2;9.5;4.9;16.4;100;51;21.9;25.7;90.7;81.3;190.3;98.6;445.8;284.4;0.5;nd
2007;42.1;40.1;13680.2;33;5;32.3;8.7;5.2;15.8;100;50.5;21.8;26.8;87.5;79.3;203.7;109.1;475.3;294.6;0.5;nd
2008;42.1;40.3;15398.5;32.1;4.7;31.2;8;5.6;18.4;100;53.4;28.2;31.9;96;117.6;242;148.6;561.9;385.9;0.6;nd
2009;36.0;34.2;12580.3;32.9;4.4;32;8;5.9;16.8;100;56.4;23.4;28.4;95.4;98.3;205.6;130.7;403.8;302.6;0.5;nd
2010;37.2;35.4;13767.6;32.4;4.9;32.9;7.4;5.7;16.7;100;57.4;23.3;27;142.9;110.6;283.9;149.8;514.7;380.2;0.7;nd
2011;36.0;34.5;14767.3;32.4;6.4;32.5;7.5;5;16.2;100;61.2;26.5;28.6;180;154;358.7;188.8;672.4;483.5;0.7;nd
2012;35.3;33.8;15256.2;32.2;6.3;33.8;6.8;5.3;15.6;100;62.5;29;30.9;171.4;118.2;322.2;165.2;730.4;566.1;0.8;36.7
2013b;35.4;34;15052.0;so;so;so;so;so;so;so;so;so;so;so;so;so;so;so;so;so;so
2013;37.0;35.6;15894.3;32.2;6;34.6;6.2;5.7;15.3;100;65.2;28.5;32.4;129.6;122;268;142.8;655;507.6;0.8;39.6
2014;37.1;35.9;15174.8;32.3;5.6;33.7;5.6;5.4;17.4;100;66.3;27;30;114.9;109.9;228.4;130.4;590.7;479.8;0.7;43
2015;37.4;36.2;14304.4;32.6;7.5;32.2;5.2;5.8;16.7;100;65.6;24.3;28.5;111.2;104.9;233.4;143;391.1;342.5;0.6;48.1
2016;38.1;37.1;13116.0;32.5;6.9;32.1;5.1;5.7;17.7;100;60;22;25;111;108;199;115;362;297;0.5;42
2017;37.4;36.4;13280.0;32.9;5.8;32.1;4.4;6.2;18.6;100;58;22;24;164;so;so;132;426;423;0.6;41
2018;37.4;36.3;14535.0;33.3;5.8;32.7;4;6.2;18;100;60;25;26;158;so;so;192;509;455;0.7;42
