reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,797.6,54.7,4,120.7,0.5,,3.9,0.3,0.8,7.3,,1.2,0.3,0.3,1.3,8.9,,,,0,,,
BFC,Bourgogne-Franche-Comté,351.1,,,50.9,,,3.1,,,3.4,,0.7,1.1,0.2,0.1,7.6,,,,0,10.1,0,
BRE,Bretagne,308.9,1.4,0,21.7,2.8,,1.6,,,,,3.9,0,0,1.8,4.5,,0,,,0,0,
CVL,Centre-Val de Loire,241.7,5,20.3,32.9,0.5,,,,,2.6,,,,1.6,,5.5,,0.1,,0,0,0,
DOM,Départements d’Outre-mer,0.4,0.2,0,1.2,0,,7.2,0,0,0.1,,4.7,0,0.1,0.5,3.0,,,,,,,
FRA,France,6964.1,691.2,384.7,649.8,15,,36.2,5.1,14.4,33.3,,27.9,4,4.4,13.1,143.9,,328.5,,,10.2,,
GRE,Grand Est,1368.9,166.8,93.9,114.9,0.9,,4.4,0.6,,4.9,,3.4,1.8,0.3,1.5,16.2,,32.7,,0,0,0,
HDF,Hauts-de-France,1302.7,,208.3,,0.9,,,,0.3,2.9,,4.1,,,1.9,29.3,,,,,0,0,
IDF,Ile-de-France,233.8,2.3,,45.7,,,0.3,0,0.1,0.6,,,,,0.7,6.4,,0,,0,,0,
NOA,Nouvelle-Aquitaine,439.0,1.5,4.1,41,0.8,,3.8,0,,2.1,,2.6,0.4,0.1,2.8,18.4,,,,0,0.1,0,
NOR,Normandie,775.5,361.9,,,0,,0.5,0.2,0.7,2.7,,1.2,,,1.6,3.7,,,,0,0,0,
OCC,Occitanie,286.0,,0,,0.1,,0.6,0,0.3,1.8,,1.2,0,0.2,0.2,17.4,,0,,0,0,0,
PAC,Provence-Alpes-Côte d'Azur,584.8,,16,,0.2,,6.8,,,,,1,,0.1,,15.6,,42,,,,0,
PAL,Pays de la Loire,273.6,,,52.3,,,1.5,0,1.1,2.5,,3.3,0,0.4,0.4,7.4,,,,0,0,0,
